"provincia","cantidad_escuelas_con_extranjeros","porcentaje_escuelas_por_provincia"
"Buenos Aires",5718,55.6333917104495
"Catamarca",24,0.233508464681845
"Chaco",69,0.671336835960304
"Chubut",157,1.52753453979373
"Ciudad de Buenos Aires",904,8.79548550301615
"Corrientes",56,0.544853084257638
"Córdoba",764,7.43335279237206
"Entre Ríos",86,0.836738665109944
"Formosa",165,1.60537069468768
"Jujuy",140,1.36213271064409
"La Pampa",72,0.700525394045534
"La Rioja",47,0.457287410001946
"Mendoza",526,5.1177271842771
"Misiones",171,1.66374781085814
"Neuquén",115,1.11889472660051
"Río Negro",209,2.0334695466044
"Salta",166,1.61510021404943
"San Juan",42,0.408639813193228
"San Luis",47,0.457287410001946
"Santa Cruz",108,1.0507880910683
"Santa Fe",563,5.47771940066161
"Santiago del Estero",8,0.0778361548939482
"Tierra del Fuego",45,0.437828371278459
"Tucumán",76,0.739443471492508
